"athletes","gender","iso3","sport","country"
"VITTESE Michelle","Women","USA","hockey","United States"
"VIVALDI Juan","Men","ARG","hockey","Argentina"
"VOKKALIGA Raghunath","Men","IND","hockey","India"
"VON DER HEYDE Lucina","Women","ARG","hockey","Argentina"
"WALMIKI Devindar","Men","IND","hockey","India"
"WANG Mengyu","Women","CHN","hockey","China"
"WANG Na","Women","CHN","hockey","China"
"WARD Sam","Men","GBR","hockey","United Kingdom"
"WATT Michael","Men","IRL","hockey","Ireland"
"WATTON Ellie","Women","GBR","hockey","United Kingdom"
"WEBB Hollie","Women","GBR","hockey","United Kingdom"
"WEBSTER Petrea","Women","NZL","hockey","New Zealand"
"WEIR Henry","Men","GBR","hockey","United Kingdom"
"WELLEN Niklas","Men","GER","hockey","Germany"
"WELTEN Lidewij","Women","NED","hockey","Netherlands"
"WESLEY Christopher","Men","GER","hockey","Germany"
"WHETTON Jake","Men","AUS","hockey","Australia"
"WHITE Nicola","Women","GBR","hockey","United Kingdom"
"WHITELOCK Kayla","Women","NZL","hockey","New Zealand"
"WIDDALL Alesha","Women","USA","hockey","United States"
"WILLIAMS Mariah","Women","AUS","hockey","Australia"
"WILSON Nick","Men","NZL","hockey","New Zealand"
"WITMER Jill","Women","USA","hockey","United States"
"WOODS Nic","Men","NZL","hockey","New Zealand"
"WU Qiong","Women","CHN","hockey","China"
"YADAV Renuka","Women","IND","hockey","India"
"YBARRA Rocio","Women","ESP","hockey","Spain"
"YU Qian","Women","CHN","hockey","China"
"YUDA Hazuki","Women","JPN","hockey","Japan"
"ZALEWSKI Aran","Men","AUS","hockey","Australia"
"ZHANG Jinrong","Women","CHN","hockey","China"
"ZHANG Xiaoxue","Women","CHN","hockey","China"
"ZHAO Yudiao","Women","CHN","hockey","China"
"ZULOAGA Victoria","Women","ARG","hockey","Argentina"
"ZWICKER Martin","Men","GER","hockey","Germany"
"ABDELAAL Mohamed","Men","EGY","judo","Egypt"
"ABDURAKHMONOV Mukhamadmurod","Men","TJK","judo","Tajikistan"
"ABELRAHMAN Ahmed","Men","EGY","judo","Egypt"
"ACACIO Marlon","Men","MOZ","judo","Mozambique"
"ADIYASAMBUU Tsolmon","Women","MGL","judo","Mongolia"
"AGBEGNENOU Clarisse","Women","FRA","judo","France"
"AGUIAR Mayra","Women","BRA","judo","Brazil"
"AL-AAMERI Hussein","Men","IRQ","judo","Iraq"
"ALLERSTORFER Daniel","Men","AUT","judo","Austria"
"ALTHEMAN Maria Suelen","Women","BRA","judo","Brazil"
"ALVEAR Yuri","Women","COL","judo","Colombia"
"AMARIS Yadinys","Women","COL","judo","Colombia"
"AN Baul","Men","KOR","judo","Korea, Republic of"
"AN Changrim","Men","KOR","judo","Korea, Republic of"
"ANDEOL Emilie","Women","FRA","judo","France"
"APRAHAMIAN Pablo","Men","URU","judo","Uruguay"
"ARMENTEROS Jose","Men","CUB","judo","Cuba"
"ASSELAH Sonia","Women","ALG","judo","Algeria"
"AYARI Hela","Women","TUN","judo","Tunisia"
"BABAMURATOVA Gulbadam","Women","TKM","judo","Turkmenistan"
"BAK Jiyun","Women","KOR","judo","Korea, Republic of"
"BAKER Mashu","Men","JPN","judo","Japan"
"BAKHSHI Mohammad Tawfiq","Men","AFG","judo","Afghanistan"
"BANGOURA Mamadama","Women","GUI","judo","Guinea"
"BASILE Fabio","Men","ITA","judo","Italy"
"BASSOU Imad","Men","MAR","judo","Morocco"
"BATTULGA Temuulen","Men","MGL","judo","Mongolia"
"BEAUCHEMIN-PINARD Catherine","Women","CAN","judo","Canada"
"BENAMADI Abderrahmane","Men","ALG","judo","Algeria"
"BENSTED Jake","Men","AUS","judo","Australia"
"BERNABEU Maria","Women","ESP","judo","Spain"
"BESTAEV Otar","Men","KGZ","judo","Kyrgyzstan"
"BLOSHENKO Artem","Men","UKR","judo","Ukraine"
"BOLDER Linda","Women","ISR","judo","Israel"
"BOR Barna","Men","HUN","judo","Hungary"
"BORODAVKO Jevgenijs","Men","LAT","judo","Latvia"
"BOTTIEAU Joachim","Men","BEL","judo","Belgium"
"BOUCHARD Antoine","Men","CAN","judo","Canada"
"BOUYACOUB Lyes","Men","ALG","judo","Algeria"
"BREITBARTH Andre","Men","GER","judo","Germany"
"BRICENO Thomas","Men","CHI","judo","Chile"
"BROWN Colton","Men","USA","judo","United States"
"BUKASA Yolande","Women","ROT","judo","Refugee Olympic Team"
"BUZACARINI Rafael","Men","BRA","judo","Brazil"
"CAMILO Tiago","Men","BRA","judo","Brazil"
"CAPRIORIU Corina","Women","ROU","judo","Romania"
"CARRILLO Edna","Women","MEX","judo","Mexico"
"CASTILLO Yalennis","Women","CUB","judo","Cuba"
"CERIC Larisa","Women","BIH","judo","Bosnia and Herzegovina"
"CHAMMARTIN Ludovic","Men","SUI","judo","Switzerland"
"CHEIKH ROUHOU Nihel","Women","TUN","judo","Tunisia"
"CHENG Xunzhao","Men","CHN","judo","China"
"CHERNIAK Maryna","Women","UKR","judo","Ukraine"
"CHIBANA Charles","Men","BRA","judo","Brazil"
"CHIBISOVA Ksenia","Women","RUS","judo","Russian Federation"
"CHITU Andreea","Women","ROU","judo","Romania"
"CHO Guham","Men","KOR","judo","Korea, Republic of"
"CIRJENICS Miklos","Men","HUN","judo","Hungary"
"COHEN Gili","Women","ISR","judo","Israel"
"CONWAY Sally","Women","GBR","judo","United Kingdom"
"COUGHLAN Eoin","Men","AUS","judo","Australia"
"CSERNOVICZKI Eva","Women","HUN","judo","Hungary"
"CSOKNYAI Laszlo","Men","HUN","judo","Hungary"
"DABONNE Zoulehia Abzetta","Women","CIV","judo","Cote d'Ivoire"
"DARWISH Ramadan","Men","EGY","judo","Egypt"
"DAVAADORJ Tumurkhuleg","Men","MGL","judo","Mongolia"
"DAVTYAN Hovhannes","Men","ARM","judo","Armenia"
"DE WIT Frank","Men","NED","judo","Netherlands"
"DELGADO Angelica","Women","USA","judo","United States"
"DELPOPOLO Nicholas","Men","USA","judo","United States"
"DENISOV Kirill","Men","RUS","judo","Russian Federation"
"DEPREZ Josue","Men","HAI","judo","Haiti"
"DIAS Celio","Men","POR","judo","Portugal"
"DIEDHIOU Hortance","Women","SEN","judo","Senegal"
"DOLGOVA Irina","Women","RUS","judo","Russian Federation"
"DORJSUREN Sumiya","Women","MGL","judo","Mongolia"
"DOSSOU YOVO Celtus Williams Abiola","Men","BEN","judo","Benin"
"DRAKSIC Rok","Men","SLO","judo","Slovenia"
"DUGASSE Dominic","Men","SEY","judo","Seychelles"
"DUMINICA Valeriu","Men","MDA","judo","Moldova, Republic of"
"DUPRAT Pierre","Men","FRA","judo","France"
"EBINUMA Masashi","Men","JPN","judo","Japan"
"EL SHEHABY Islam","Men","EGY","judo","Egypt"
"ELIAS Nacif","Men","LIB","judo","Lebanon"
"ELKAWISAH Mohamed Elhadi","Men","LBA","judo","Libya"
"ELMONT Dex","Men","NED","judo","Netherlands"
"EMANE Gevrise","Women","FRA","judo","France"
"ENGLMAIER Tobias","Men","GER","judo","Germany"
"ESPINOSA Maricet","Women","CUB","judo","Cuba"
"ESTRADA Magdiel","Men","CUB","judo","Cuba"
"FAHMY Joud","Women","KSA","judo","Saudi Arabia"
"FIGUEROA Freddy","Men","ECU","judo","Ecuador"
"FIGUEROA Julia","Women","ESP","judo","Spain"
"FILZMOSER Sabrina","Women","AUT","judo","Austria"
"FLETCHER Benjamin","Men","GBR","judo","United Kingdom"
"FONSECA Jorge","Men","POR","judo","Portugal"
"FREY Karl-Richard","Men","GER","judo","Germany"
"GALBADRAKH Otgontsetseg","Women","KAZ","judo","Kazakhstan"
"GANBAATAR Odbayar","Men","MGL","judo","Mongolia"
"GARCIA Estefania","Women","ECU","judo","Ecuador"
"GARCIA MENDOZA Alex","Men","CUB","judo","Cuba"
"GARRIGOS Francisco","Men","ESP","judo","Spain"
"GASIMOV Elmar","Men","AZE","judo","Azerbaijan"
"GASONGO Antoinette","Women","BDI","judo","Burundi"
"GEORGE Christopher","Men","TTO","judo","Trinidad and Tobago"
"GERBI Yarden","Women","ISR","judo","Israel"
"GERCHEV Yanislav","Men","BUL","judo","Bulgaria"
"GHARBI Karim","Men","SMR","judo","San Marino"
"GIAMBELLI Miranda","Women","AUS","judo","Australia"
"GIUFFRIDA Odette","Women","ITA","judo","Italy"
"GJAKOVA Nora","Women","KOS","judo","Kosovo"
"GNETO Priscilla","Women","FRA","judo","France"
"GOMBOC Adrian","Men","SLO","judo","Slovenia"
"GOMEZ Laura","Women","ESP","judo","Spain"
"GONZALEZ Asley","Men","CUB","judo","Cuba"
"GOUMAR Ahmed","Men","NIG","judo","Niger"
"GRAF Bernadette","Women","AUT","judo","Austria"
"GROL Henk","Men","NED","judo","Netherlands"
"GROSSKLAUS Ciril","Men","SUI","judo","Switzerland"
"GUICA Ecaterina","Women","CAN","judo","Canada"
"GVINIASHVILI Beka","Men","GEO","judo","Georgia"
"GWAK Donghan","Men","KOR","judo","Korea, Republic of"
"GWEND Edwige","Women","ITA","judo","Italy"
"HAECKER Katharina","Women","AUS","judo","Australia"
"HAGA Ryunosuke","Men","JPN","judo","Japan"
"HAMAD Sulaiman","Men","KSA","judo","Saudi Arabia"
"HARASAWA Hisayoshi","Men","JPN","judo","Japan"
"HARRISON Kayla","Women","USA","judo","United States"
"HERMANSSON Mia","Women","SWE","judo","Sweden"
"HONG Kuk Hyon","Men","PRK","judo","Korea, Democratic People's Republic of"
"HOUSSEIN Anass","Men","DJI","judo","Djibouti"
"IAROMKA Svitlana","Women","UKR","judo","Ukraine"
"IARTCEV Denis","Men","RUS","judo","Russian Federation"
"IDDIR Alexandre","Men","FRA","judo","France"
"ILIADIS Ilias","Men","GRE","judo","Greece"
"IVANOV Ivaylo","Men","BUL","judo","Bulgaria"
"JABALLAH Faicel","Men","TUN","judo","Tunisia"
"JAMES Renick","Men","BIZ","judo","Belize"
"JEONG Bokyeong","Women","KOR","judo","Korea, Republic of"
"JEZEK Jaromir","Men","CZE","judo","Czech Republic"
"JONSSON Thormodur","Men","ISL","judo","Iceland"
"JOO Abigel","Women","HUN","judo","Hungary"
"JURAEV Sherali","Men","UZB","judo","Uzbekistan"
"KARAKAS Hedvig","Women","HUN","judo","Hungary"
"KASEM Mohamad","Men","SYR","judo","Syrian Arab Republic"
"KATIPOGLU Busra","Women","TUR","judo","Turkey"
"KATZ Joshua","Men","AUS","judo","Australia"
"KATZ Nathan","Men","AUS","judo","Australia"
"KELMENDI Majlinda","Women","KOS","judo","Kosovo"
"KHAIBULAEV Tagir","Men","RUS","judo","Russian Federation"
"KHALAF Ibrahim","Men","JOR","judo","Jordan"
"KHALMURZAEV Khasan","Men","RUS","judo","Russian Federation"
"KHAMMO Iakiv","Men","UKR","judo","Ukraine"
"KHAMZA Didar","Men","KAZ","judo","Kazakhstan"
"KHATRI Phupu Lamu","Women","NEP","judo","Nepal"
"KHOJASTEH Alireza","Men","IRI","judo","Iran, Islamic Republic of"
"KHYAR Walide","Men","FRA","judo","France"
"KIBIKAI Paul","Men","GAB","judo","Gabon"
"KIM Jandi","Women","KOR","judo","Korea, Republic of"
"KIM Minjeong","Women","KOR","judo","Korea, Republic of"
"KIM Seongyeon","Women","KOR","judo","Korea, Republic of"
"KIM Sol Mi","Women","PRK","judo","Korea, Democratic People's Republic of"
"KIM Sungmin","Men","KOR","judo","Korea, Republic of"
"KIM Won Jin","Men","KOR","judo","Korea, Republic of"
"KITADAI Felipe","Men","BRA","judo","Brazil"
"KLYS Katarzyna","Women","POL","judo","Poland"
"KOKAURI Ushangi","Men","AZE","judo","Azerbaijan"
"KONDO Ami","Women","JPN","judo","Japan"
"KOPINSKY Yigal","Men","SUR","judo","Suriname"
"KRAEH Mareen","Women","GER","judo","Germany"
"KRAKOVETSKII Iurii","Men","KGZ","judo","Kyrgyzstan"
"KRPALEK Lukas","Men","CZE","judo","Czech Republic"
"KUELBS Jasmin","Women","GER","judo","Germany"
"KUKOLJ Aleksandar","Men","SRB","judo","Serbia"
"KUKU Rodrick","Men","COD","judo","Congo, the Democratic Republic of the"
"KURBONOV Soyib","Men","UZB","judo","Uzbekistan"
"KUZIUTINA Natalia","Women","RUS","judo","Russian Federation"
"LE BLOUCH Kilian","Men","FRA","judo","France"
"LEE Seungsu","Men","KOR","judo","Korea, Republic of"
"LEFEVERE Jasper","Men","BEL","judo","Belgium"
"LEGENTIL Christianne","Women","MRI","judo","Mauritius"
"LIEN Chen-Ling","Women","TPE","judo","Taiwan, Province of China"
"LIMA Taciana","Women","GBS","judo","Guinea-Bissau"
"LIPARTELIANI Varlam","Men","GEO","judo","Georgia"
"LKHAGVASUREN Otgonbaatar","Men","MGL","judo","Mongolia"
"LOKMANHEKIM Dilara","Women","TUR","judo","Turkey"
"LUCENTI Emmanuel","Men","ARG","judo","Argentina"
"MA Duanbin","Men","CHN","judo","China"
"MA Yingnan","Women","CHN","judo","China"
"MAHIT Joe","Men","VAN","judo","Vanuatu"
"MAHJOUB Javad","Men","IRI","judo","Iran, Islamic Republic of"
"MALLOY Marti","Women","USA","judo","United States"
"MALZAHN Luise","Women","GER","judo","Germany"
"MANUEL Darcina","Women","NZL","judo","New Zealand"
"MANZI Elios","Men","ITA","judo","Italy"
"MARCONCINI Matteo","Men","ITA","judo","Italy"
"MARESCH Sven","Men","GER","judo","Germany"
"MARET Cyrille","Men","FRA","judo","France"
"MARGVELASHVILI Vazha","Men","GEO","judo","Georgia"
"MATA Jayme","Men","ARU","judo","Aruba"
"MATEO Wander","Men","DOM","judo","Dominican Republic"
"MATER Zeyad","Men","YEM","judo","Yemen"
"MATIC Barbara","Women","CRO","judo","Croatia"
"MATNIYAZOVA Gulnoza","Women","UZB","judo","Uzbekistan"
"MATSUMOTO Kaori","Women","JPN","judo","Japan"
"MAZOUZ Sarah Myriam","Women","GAB","judo","Gabon"
"MBALLA ATANGANA Hortence Vanessa","Women","CMR","judo","Cameroon"
"MCKENZIE Ashley","Men","GBR","judo","United Kingdom"
"MEHDIYEV Mammadali","Men","AZE","judo","Azerbaijan"
"MENEZES Sarah","Women","BRA","judo","Brazil"
"MESTRE ALVAREZ Dayaris","Women","CUB","judo","Cuba"
"MEYER Roy","Men","NED","judo","Netherlands"
"MICHEL Martin","Men","BOL","judo","Bolivia, Plurinational State of"
"MILED Houda","Women","TUN","judo","Tunisia"
"MINASKIN Grigori","Men","EST","judo","Estonia"
"MIRANDA Erika","Women","BRA","judo","Brazil"
"MISENGA Popole","Men","ROT","judo","Refugee Olympic Team"
"MLUGU Andrew Thomas","Men","TAN","judo","Tanzania, United Republic of"
"MOGOPA Gavin","Men","BOT","judo","Botswana"
"MOHYELDIN Mohamed","Men","EGY","judo","Egypt"
"MOJICA Melissa","Women","PUR","judo","Puerto Rico"
"MOLLAEI Saeid","Men","IRI","judo","Iran, Islamic Republic of"
"MONIER SULIMAN Iszlam","Men","SUD","judo","Sudan"
"MONTEIRO Telma","Women","POR","judo","Portugal"
"MOOREN Jeroen","Men","NED","judo","Netherlands"
"MOREIRA Antonia","Women","ANG","judo","Angola"
"MOSCATT Valentina","Women","ITA","judo","Italy"
"MOUSTOPOULOS Roman","Men","GRE","judo","Greece"
"MRVALJEVIC Srdjan","Men","MNE","judo","Montenegro"
"MUDRANOV Beslan","Men","RUS","judo","Russian Federation"
"MUKI Sagi","Men","ISR","judo","Israel"
"MUNKHBAT Urantsetseg","Women","MGL","judo","Mongolia"
"MURILLO Miguel","Men","CRC","judo","Costa Rica"
"NAGASE Takanori","Men","JPN","judo","Japan"
"NAIDAN Tuvshinbayar","Men","MGL","judo","Mongolia"
"NAKAMURA Misato","Women","JPN","judo","Japan"
"NAKANO Kodo","Men","PHI","judo","Philippines"
"NATEA Daniel","Men","ROU","judo","Romania"
"NAULU Josateki","Men","FIJ","judo","Fiji"
"NGOKABA Deo Gracia","Men","CGO","judo","Congo"
"NHABALI Quedjau","Men","UKR","judo","Ukraine"
"NIANG Assmaa","Women","MAR","judo","Morocco"
"NIKIFORENKO Arturs","Men","LAT","judo","Latvia"
"NIKIFOROV Toma","Men","BEL","judo","Belgium"
"NIKOLOSKA Katerina","Women","MKD","judo","Macedonia, the former Yugoslav Republic of"
"NJIE Faye","Men","GAM","judo","Gambia"
"NURJAVOVA Rushana","Women","TKM","judo","Turkmenistan"
"NYMAN Marcus","Men","SWE","judo","Sweden"
"OATES Colin","Men","GBR","judo","United Kingdom"
"ODENTHAL Marc","Men","GER","judo","Germany"
"OKRUASHVILI Adam","Men","GEO","judo","Georgia"
"OLEINIC Sergiu","Men","POR","judo","Portugal"
"ONO Shohei","Men","JPN","judo","Japan"
"ORTIZ Idalys","Women","CUB","judo","Cuba"
"ORUJOV Rustam","Men","AZE","judo","Azerbaijan"
"OTGONBAATAR Uuganbaatar","Men","MGL","judo","Mongolia"
"OVINOU Raymond","Men","PNG","judo","Papua New Guinea"
"OZLU Bekir","Men","TUR","judo","Turkey"
"PACEK Martin","Men","SWE","judo","Sweden"
"PACEK Robin","Men","SWE","judo","Sweden"
"PAISCHER Ludwig","Men","AUT","judo","Austria"
"PAKENYTE Santa","Women","LTU","judo","Lithuania"
"PAPINASHVILI Amiran","Men","GEO","judo","Georgia"
"PARETO Paula","Women","ARG","judo","Argentina"
"PAVIA Automne","Women","FRA","judo","France"
"PAYET Laetitia","Women","FRA","judo","France"
"PENALBER Victor","Men","BRA","judo","Brazil"
"PEREZ Maria","Women","PUR","judo","Puerto Rico"
"PESSOA Sergio","Men","CAN","judo","Canada"
"PETRIKOV Pavel","Men","CZE","judo","Czech Republic"
"PIETRI Loic","Men","FRA","judo","France"
"PILETA Ramon","Men","HON","judo","Honduras"
"PIONTEK Zack","Men","RSA","judo","South Africa"
"PODOLAK Arleta","Women","POL","judo","Poland"
"POGORZELEC Daria","Women","POL","judo","Poland"
"POLLACK Golan","Men","ISR","judo","Israel"
"POLLING Kim","Women","NED","judo","Netherlands"
"POMBO SILVA Alex William","Men","BRA","judo","Brazil"
"PORTELA Maria","Women","BRA","judo","Brazil"
"POSTIGOS Juan","Men","PER","judo","Peru"
"POWELL Natalie","Women","GBR","judo","United Kingdom"
"PRECIADO Lenin","Men","ECU","judo","Ecuador"
"PULIAEV Mikhail","Men","RUS","judo","Russian Federation"
"PUNZA Mathews","Men","ZAM","judo","Zambia"
"PUREVJARGAL Lkhamdegd","Women","MGL","judo","Mongolia"
"RAKOV Maxim","Men","KAZ","judo","Kazakhstan"
"RAMOS Joana","Women","POR","judo","Portugal"
"RAMOS Jose","Men","GUA","judo","Guatemala"
"RATIARISON Asaramanitra","Women","MAD","judo","Madagascar"
"RAYNER Chloe","Women","AUS","judo","Australia"
"REINVALL Juho","Men","FIN","judo","Finland"
"REMARENCO Ivan","Men","UAE","judo","United Arab Emirates"
"REPIYALLAGE Chamara","Men","SRI","judo","Sri Lanka"
"REYES Kyle","Men","CAN","judo","Canada"
"RINER Teddy","Men","FRA","judo","France"
"RISHONY Shira","Women","ISR","judo","Israel"
"RODRIGUEZ Elvismar","Women","VEN","judo","Venezuela, Bolivarian Republic of"
"ROPER Miryam","Women","GER","judo","Germany"
"SABIROV Shakhzodbek","Men","UZB","judo","Uzbekistan"
"SAFAROV Orkhan","Men","AZE","judo","Azerbaijan"
"SAIDOV Renat","Men","RUS","judo","Russian Federation"
"SAIYINJIRIGALA","Men","CHN","judo","China"
"SALLES LOPEZ Laura","Women","AND","judo","Andorra"
"SANG Kiplangat","Men","KEN","judo","Kenya"
"SARAIVA Nuno","Men","POR","judo","Portugal"
"SARNACKI Maciej","Men","POL","judo","Poland"
"SASSON Or","Men","ISR","judo","Israel"
"SAVELKOULS Tessie","Women","NED","judo","Netherlands"
"SAYIT Kayra","Women","TUR","judo","Turkey"
"SCHLESINGER Alice","Women","GBR","judo","United Kingdom"
"SCVORTOV Victor","Men","UAE","judo","United Arab Emirates"
"SEIDL Sebastian","Men","GER","judo","Germany"
"SHAH Hussain Shah","Men","PAK","judo","Pakistan"
"SHARIPOV Mirali","Men","UZB","judo","Uzbekistan"
"SHAVDATUASHVILI Lasha","Men","GEO","judo","Georgia"
"SHERSHAN Dzmitry","Men","BLR","judo","Belarus"
"SHIKHALIZADA Nijat","Men","AZE","judo","Azerbaijan"
"SICCARDI Yann","Men","MON","judo","Monaco"
"SIDIBE Rachid","Men","BUR","judo","Burkina Faso"
"SILVA Mariana","Women","BRA","judo","Brazil"
"SILVA Morales","Men","CUB","judo","Cuba"
"SILVA Rafael","Men","BRA","judo","Brazil"
"SILVA Rafaela","Women","BRA","judo","Brazil"
"SINGH Avtar","Men","IND","judo","India"
"SITHISANE Soukphaxay","Men","LAO","judo","Lao People's Democratic Republic"
"SKRYPNIK Darya","Women","BLR","judo","Belarus"
"SMAGULOV Zhansay","Men","KAZ","judo","Kazakhstan"
"SMETOV Yeldos","Men","KAZ","judo","Kazakhstan"
"SMYTHE-DAVIS Nekoda","Women","GBR","judo","United Kingdom"
"SOBIROV Rishod","Men","UZB","judo","Uzbekistan"
"SOL Kyong","Women","PRK","judo","Korea, Democratic People's Republic of"
"STAM Esther","Women","GEO","judo","Georgia"
"STEVENS Travis","Men","USA","judo","United States"
"SUA Derek","Men","SAM","judo","Samoa"
"SZOGEDI Szandra","Women","GHA","judo","Ghana"
"TACHIMOTO Haruka","Women","JPN","judo","Japan"
"TAKATO Naohisa","Men","JPN","judo","Japan"
"TANGRIEV Abdullo","Men","UZB","judo","Uzbekistan"
"TASHIRO Miku","Women","JPN","judo","Japan"
"TAYEB Mohammed Amine","Men","ALG","judo","Algeria"
"TCHEUMEO Audrey","Women","FRA","judo","France"
"TCHRIKISHVILI Avtandili","Men","GEO","judo","Georgia"
"TOMA Sergiu","Men","UAE","judo","United Arab Emirates"
"TOTH Krisztian","Men","HUN","judo","Hungary"
"TRAJDOS Martyna","Women","GER","judo","Germany"
"TRAORE Ayouba","Men","MLI","judo","Mali"
"TRSTENJAK Tina","Women","SLO","judo","Slovenia"
"TSAI Ming-Yen","Men","TPE","judo","Taiwan, Province of China"
"TSCHOPP Evelyne","Women","SUI","judo","Switzerland"
"TSEDEVSUREN Munkhzaya","Women","MGL","judo","Mongolia"
"TSEND-AYUSH Naranjargal","Women","MGL","judo","Mongolia"
"TSEND-OCHIR Tsogtbaatar","Men","MGL","judo","Mongolia"
"TURCIOS Juan Diego","Men","ESA","judo","El Salvador"
"TURKS Viktoriia","Women","UKR","judo","Ukraine"
"UERA Ovini","Men","NRU","judo","Nauru"
"UMEKI Mami","Women","JPN","judo","Japan"
"UNGUREANU Monica","Women","ROU","judo","Romania"
"UNGVARI Miklos","Men","HUN","judo","Hungary"
"UNTERWURZACHER Kathrin","Women","AUT","judo","Austria"
"URDABAYEVA Marian","Women","KAZ","judo","Kazakhstan"
"URIARTE Sugoi","Men","ESP","judo","Spain"
"UROZBOEV Diyorbek","Men","UZB","judo","Uzbekistan"
"USTOPIRIYON Komronshokh","Men","TJK","judo","Tajikistan"
"VALKOVA Ekaterina","Women","RUS","judo","Russian Federation"
"VALOIS-FORTIER Antoine","Men","CAN","judo","Canada"
"VAN EMDEN Anicka","Women","NED","judo","Netherlands"
"VAN Ngoc Tu","Women","VIE","judo","Viet Nam"
"VAN SNICK Charline","Women","BEL","judo","Belgium"
"VAN T END Noel","Men","NED","judo","Netherlands"
"VAN TICHELT Dirk","Men","BEL","judo","Belgium"
"VARGAS KOCH Laura","Women","GER","judo","Germany"
"VELENSEK Anamari","Women","SLO","judo","Slovenia"
"VERHAGEN Sanne","Women","NED","judo","Netherlands"
"VERKERK Marhinde","Women","NED","judo","Netherlands"
"WANDTKE Igor","Men","GER","judo","Germany"
"WATERHOUSE Benjamin","Men","ASA","judo","American Samoa"
"YACOUB Simon","Men","PLE","judo","Palestine, State of"
"YAMABE Kanae","Women","JPN","judo","Japan"
"YAN Naing Soe","Men","MYA","judo","Myanmar"
"YANG Junxia","Women","CHN","judo","China"
"YEA-ON Kunathip","Men","THA","judo","Thailand"
"YU Song","Women","CHN","judo","China"
"ZABLUDINA Irina","Women","RUS","judo","Russian Federation"
"ZAMBOTTI Vanessa","Women","MEX","judo","Mexico"
"ZANTARAIA Georgii","Men","UKR","judo","Ukraine"
"ZEMOURI Morad","Men","QAT","judo","Qatar"
"ZGANK Mihael","Men","SLO","judo","Slovenia"
"ZHANG Zhehui","Women","CHN","judo","China"
"ZHOU Chao","Women","CHN","judo","China"
"ZOUAK Rizlen","Women","MAR","judo","Morocco"
"ZOURDANI Houd","Men","ALG","judo","Algeria"
"ZUPANCIC Kelita","Women","CAN","judo","Canada"
"ANDERSON Haley","Women","USA","marathon-swimming","United States"
"ARAOUZOU Kelly","Women","GRE","marathon-swimming","Greece"
"AYDARSKI Ventsislav","Men","BUL","marathon-swimming","Bulgaria"
"BRUNI Rachele","Women","ITA","marathon-swimming","Italy"
"BURNELL Jack","Men","GBR","marathon-swimming","United Kingdom"
"CUNHA Ana Marcela","Women","BRA","marathon-swimming","Brazil"
"DO CARMO Allan","Men","BRA","marathon-swimming","Brazil"
"DRATTCEV Evgenii","Men","RUS","marathon-swimming","Russian Federation"
"ELSAYED KASSEM Reem Mohamed Hussein","Women","EGY","marathon-swimming","Egypt"
"ENDERICA OCHOA Ivan Alejandro","Men","ECU","marathon-swimming","Ecuador"
"GAN Heidi","Women","MAS","marathon-swimming","Malaysia"
"GIANNIOTIS Spiros","Men","GRE","marathon-swimming","Greece"
"GUBECKA Chelsea Lea","Women","AUS","marathon-swimming","Australia"
"HARLE Isabelle","Women","GER","marathon-swimming","Germany"
"HIRAI Yasunari","Men","JPN","marathon-swimming","Japan"
"HO Chad","Men","RSA","marathon-swimming","South Africa"
"HORNER Stephanie","Women","CAN","marathon-swimming","Canada"
"KHUDYAKOV Vitaliy","Men","KAZ","marathon-swimming","Kazakhstan"
"KIDA Yumi","Women","JPN","marathon-swimming","Japan"
"MALDONADO Erwin","Men","VEN","marathon-swimming","Venezuela, Bolivarian Republic of"
"MELLOULI Oussama","Men","TUN","marathon-swimming","Tunisia"
"MULLER Aurelie","Women","FRA","marathon-swimming","France"
"NAGY Richard","Men","SVK","marathon-swimming","Slovakia"
"NEVES Vania","Women","POR","marathon-swimming","Portugal"
"OKIMOTO Poliana","Women","BRA","marathon-swimming","Brazil"
"OLIVIER Marc-Antoine","Men","FRA","marathon-swimming","France"
"PAPP Mark","Men","HUN","marathon-swimming","Hungary"
"PAYNE Keri-Anne","Women","GBR","marathon-swimming","United Kingdom"
"PECHANOVA Jana","Women","CZE","marathon-swimming","Czech Republic"
"PEREZ Paola","Women","VEN","marathon-swimming","Venezuela, Bolivarian Republic of"
"PERSE Spela","Women","SLO","marathon-swimming","Slovenia"
"POORT Jarrod","Men","AUS","marathon-swimming","Australia"
"RADFORD Kane","Men","NZL","marathon-swimming","New Zealand"
"REICHERT Christian","Men","GER","marathon-swimming","Germany"
"RISZTOV Eva","Women","HUN","marathon-swimming","Hungary"
"RUFFINI Simone","Men","ITA","marathon-swimming","Italy"
"RYAN Sean","Men","USA","marathon-swimming","United States"
"VAN ROUWENDAAL Sharon","Women","NED","marathon-swimming","Netherlands"
"VANELLI Federico","Men","ITA","marathon-swimming","Italy"
"VILLAECIJA GARCIA Erika","Women","ESP","marathon-swimming","Spain"
"WEBER Michelle","Women","RSA","marathon-swimming","South Africa"
"WEERTMAN Ferry","Men","NED","marathon-swimming","Netherlands"
"WEINBERGER Richard","Men","CAN","marathon-swimming","Canada"
"WILIMOVSKY Jordan","Men","USA","marathon-swimming","United States"
"XIN Xin","Women","CHN","marathon-swimming","China"
"ZACHOSZCZ Joanna","Women","POL","marathon-swimming","Poland"
"ZU Lijun","Men","CHN","marathon-swimming","China"
"ASADAUSKAITE Laura","Women","LTU","modern-pentathlon","Lithuania"
